trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.5, 'e': 1.0}",25,0,-31.77193056208347,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.546089457464834,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 1.0}",25,0,-14.664294837951967,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 1.0}",30,0,-11.794021686414768,"{0: 21, 1: 9, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.557438277754436,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.257571111363383,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 1.0}",30,0,-40.510051615224654,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.68360515823845,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.46669466366565,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.7888429241204,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 1.0}",25,0,-33.38922583929535,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 1.0}",20,0,-4.745294019541234,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.152220218113062,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.886017544699701,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.385564175375883,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.246197523270645,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 1.0}",25,0,2.9054617138245655,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 1.0}",30,0,-29.45309989911879,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.685533315782099,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 1.0}",35,0,-60.433538014585515,"{0: 18, 1: 17, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.542334044654012,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 1.0}",25,0,-11.303728143308785,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 1.0}",25,0,-17.72519601893437,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 1.0}",20,0,1.1569748334056975,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 1.0}",25,0,-28.585299823556362,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.755219669115311,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 1.0}",25,0,-19.80753389503193,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.208823802861922,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.012476213220957,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
183,False,"{'a': 0.5, 'e': 1.0}",30,0,-14.596760618103511,"{0: 21, 1: 9, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.5, 'e': 1.0}",20,0,0.7520009659213295,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
185,False,"{'a': 0.5, 'e': 1.0}",30,0,-28.091872929703264,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
186,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.6506206877817,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
187,False,"{'a': 0.5, 'e': 1.0}",20,0,-11.389721100893768,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
188,False,"{'a': 0.5, 'e': 1.0}",25,0,-24.349499405872663,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 1.0}",25,0,-7.121035316465564,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
190,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.18390860892133,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
191,False,"{'a': 0.5, 'e': 1.0}",30,0,-41.18442338403792,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
192,False,"{'a': 0.5, 'e': 1.0}",25,0,-22.66789112600413,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.5, 'e': 1.0}",30,0,-45.76573111607843,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
194,False,"{'a': 0.5, 'e': 1.0}",25,0,-25.700329924171257,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
